table_schema,table_name,constraint_name,key_type,column_list,definition,index_name,is_deferrable,initially_deferred
public,offers,offers_pkey,PRIMARY KEY,id,PRIMARY KEY (id),offers_pkey,f,f
public,pro_applications,pro_applications_pkey,PRIMARY KEY,id,PRIMARY KEY (id),pro_applications_pkey,f,f
public,professionals,professionals_pkey,PRIMARY KEY,id,PRIMARY KEY (id),professionals_pkey,f,f
public,profiles,profiles_pkey,PRIMARY KEY,id,PRIMARY KEY (id),profiles_pkey,f,f
public,profiles,profiles_email_key,UNIQUE,email,UNIQUE (email),profiles_email_key,f,f
public,ratings,ratings_pkey,PRIMARY KEY,id,PRIMARY KEY (id),ratings_pkey,f,f
public,requests,requests_pkey,PRIMARY KEY,id,PRIMARY KEY (id),requests_pkey,f,f
public,service_photos,service_photos_pkey,PRIMARY KEY,id,PRIMARY KEY (id),service_photos_pkey,f,f
public,user_notifications,user_notifications_pkey,PRIMARY KEY,id,PRIMARY KEY (id),user_notifications_pkey,f,f
storage,buckets,buckets_pkey,PRIMARY KEY,id,PRIMARY KEY (id),buckets_pkey,f,f
storage,buckets,,UNIQUE INDEX,name,CREATE UNIQUE INDEX bname ON storage.buckets USING btree (name),bname,,
storage,buckets_analytics,buckets_analytics_pkey,PRIMARY KEY,id,PRIMARY KEY (id),buckets_analytics_pkey,f,f
storage,migrations,migrations_pkey,PRIMARY KEY,id,PRIMARY KEY (id),migrations_pkey,f,f
storage,migrations,migrations_name_key,UNIQUE,name,UNIQUE (name),migrations_name_key,f,f
storage,objects,objects_pkey,PRIMARY KEY,id,PRIMARY KEY (id),objects_pkey,f,f
storage,objects,,UNIQUE INDEX,"bucket_id, level, name","CREATE UNIQUE INDEX objects_bucket_id_level_idx ON storage.objects USING btree (bucket_id, level, name COLLATE ""C"")",objects_bucket_id_level_idx,,
storage,objects,,UNIQUE INDEX,"bucket_id, name","CREATE UNIQUE INDEX bucketid_objname ON storage.objects USING btree (bucket_id, name)",bucketid_objname,,
storage,objects,,UNIQUE INDEX,"name, bucket_id, level","CREATE UNIQUE INDEX idx_name_bucket_level_unique ON storage.objects USING btree (name COLLATE ""C"", bucket_id, level)",idx_name_bucket_level_unique,,
storage,prefixes,prefixes_pkey,PRIMARY KEY,"bucket_id, level, name","PRIMARY KEY (bucket_id, level, name)",prefixes_pkey,f,f
storage,s3_multipart_uploads,s3_multipart_uploads_pkey,PRIMARY KEY,id,PRIMARY KEY (id),s3_multipart_uploads_pkey,f,f
storage,s3_multipart_uploads_parts,s3_multipart_uploads_parts_pkey,PRIMARY KEY,id,PRIMARY KEY (id),s3_multipart_uploads_parts_pkey,f,f
