table_schema,table_name,table_comment,column_name,ordinal_position,data_type,udt_name,character_maximum_length,numeric_precision,numeric_scale,datetime_precision,is_nullable,column_default,column_comment,identity_generation
storage,objects,,id,1,uuid,uuid,,,,,NO,gen_random_uuid(),,
storage,objects,,bucket_id,2,text,text,,,,,YES,,,
storage,objects,,name,3,text,text,,,,,YES,,,
storage,objects,,owner,4,uuid,uuid,,,,,YES,,"Field is deprecated, use owner_id instead",
storage,objects,,created_at,5,timestamp with time zone,timestamptz,,,,6,YES,now(),,
storage,objects,,updated_at,6,timestamp with time zone,timestamptz,,,,6,YES,now(),,
storage,objects,,last_accessed_at,7,timestamp with time zone,timestamptz,,,,6,YES,now(),,
storage,objects,,metadata,8,jsonb,jsonb,,,,,YES,,,
storage,objects,,path_tokens,9,ARRAY,_text,,,,,YES,,,
storage,objects,,version,10,text,text,,,,,YES,,,
storage,objects,,owner_id,11,text,text,,,,,YES,,,
storage,objects,,user_metadata,12,jsonb,jsonb,,,,,YES,,,
storage,objects,,level,13,integer,int4,,32,0,,YES,,,
storage,prefixes,,bucket_id,1,text,text,,,,,NO,,,
storage,prefixes,,name,2,text,text,,,,,NO,,,
storage,prefixes,,level,3,integer,int4,,32,0,,NO,,,
storage,prefixes,,created_at,4,timestamp with time zone,timestamptz,,,,6,YES,now(),,
storage,prefixes,,updated_at,5,timestamp with time zone,timestamptz,,,,6,YES,now(),,
storage,s3_multipart_uploads,,id,1,text,text,,,,,NO,,,
storage,s3_multipart_uploads,,in_progress_size,2,bigint,int8,,64,0,,NO,0,,
storage,s3_multipart_uploads,,upload_signature,3,text,text,,,,,NO,,,
storage,s3_multipart_uploads,,bucket_id,4,text,text,,,,,NO,,,
storage,s3_multipart_uploads,,key,5,text,text,,,,,NO,,,
storage,s3_multipart_uploads,,version,6,text,text,,,,,NO,,,
storage,s3_multipart_uploads,,owner_id,7,text,text,,,,,YES,,,
storage,s3_multipart_uploads,,created_at,8,timestamp with time zone,timestamptz,,,,6,NO,now(),,
storage,s3_multipart_uploads,,user_metadata,9,jsonb,jsonb,,,,,YES,,,
storage,s3_multipart_uploads_parts,,id,1,uuid,uuid,,,,,NO,gen_random_uuid(),,
storage,s3_multipart_uploads_parts,,upload_id,2,text,text,,,,,NO,,,
storage,s3_multipart_uploads_parts,,size,3,bigint,int8,,64,0,,NO,0,,
storage,s3_multipart_uploads_parts,,part_number,4,integer,int4,,32,0,,NO,,,
storage,s3_multipart_uploads_parts,,bucket_id,5,text,text,,,,,NO,,,
storage,s3_multipart_uploads_parts,,key,6,text,text,,,,,NO,,,
storage,s3_multipart_uploads_parts,,etag,7,text,text,,,,,NO,,,
storage,s3_multipart_uploads_parts,,owner_id,8,text,text,,,,,YES,,,
storage,s3_multipart_uploads_parts,,version,9,text,text,,,,,NO,,,
storage,s3_multipart_uploads_parts,,created_at,10,timestamp with time zone,timestamptz,,,,6,NO,now(),,
